,LightGBM,CatBoost,XGBoost
Safety,2.4999999999999996,1.1551724137931034,0.25
Performance,0.175,1.75,1.562834553940923
Efficiency,0.225,2.2413342753330645,2.25
Manufacturability,1.4844583727619833,0.15,1.5
Compatibility,2.0,1.6809383184879119,0.2
