,LightGBM,CatBoost,XGBoost
Safety,2.2499999999999996,1.039655172413793,0.225
Performance,0.15,1.5,1.3395724748065054
Efficiency,0.175,1.7432599919257166,1.75
Manufacturability,2.474097287936639,0.25,2.5
Compatibility,2.0,1.6809383184879119,0.2
