,LightGBM,CatBoost,XGBoost
Safety,1.7499999999999996,0.8086206896551723,0.175
Performance,0.25,2.5,2.232620791344176
Efficiency,0.15,1.494222850222043,1.5
Manufacturability,1.9792778303493113,0.2,2.0
Compatibility,2.25,1.8910556082989007,0.225
