,LightGBM,CatBoost,XGBoost
Safety,1.7499999999999996,0.8086206896551723,0.175
Performance,0.15,1.5,1.3395724748065054
Efficiency,0.225,2.2413342753330645,2.25
Manufacturability,2.474097287936639,0.25,2.5
Compatibility,2.0,1.6809383184879119,0.2
