,LightGBM,CatBoost,XGBoost
Safety,2.4999999999999996,1.1551724137931034,0.25
Performance,0.225,2.25,2.0093587122097585
Efficiency,0.15,1.494222850222043,1.5
Manufacturability,1.7318681015556472,0.175,1.75
Compatibility,2.0,1.6809383184879119,0.2
