,LightGBM,CatBoost,XGBoost
Safety,2.4999999999999996,1.1551724137931034,0.25
Performance,0.2,2.0,1.7860966330753407
Efficiency,0.15,1.494222850222043,1.5
Manufacturability,2.226687559142975,0.225,2.25
Compatibility,1.75,1.4708210286769225,0.175
