,LightGBM,CatBoost,XGBoost
Safety,1.4999999999999998,0.693103448275862,0.15
Performance,0.225,2.25,2.0093587122097585
Efficiency,0.2,1.9922971336293906,2.0
Manufacturability,1.7318681015556472,0.175,1.75
Compatibility,2.5,2.1011728981098896,0.25
