,LightGBM,CatBoost,XGBoost
Safety,2.4999999999999996,1.1551724137931034,0.25
Performance,0.15,1.5,1.3395724748065054
Efficiency,0.175,1.7432599919257166,1.75
Manufacturability,1.9792778303493113,0.2,2.0
Compatibility,2.25,1.8910556082989007,0.225
