,LightGBM,CatBoost,XGBoost
Safety,2.4999999999999996,1.1551724137931034,0.25
Performance,0.15,1.5,1.3395724748065054
Efficiency,0.175,1.7432599919257166,1.75
Manufacturability,2.226687559142975,0.225,2.25
Compatibility,2.0,1.6809383184879119,0.2
