,LightGBM,CatBoost,XGBoost
Safety,2.2499999999999996,1.039655172413793,0.225
Performance,0.25,2.5,2.232620791344176
Efficiency,0.2,1.9922971336293906,2.0
Manufacturability,1.7318681015556472,0.175,1.75
Compatibility,1.5,1.2607037388659337,0.15
