,LightGBM,CatBoost,XGBoost
Safety,1.9999999999999998,0.9241379310344828,0.2
Performance,0.25,2.5,2.232620791344176
Efficiency,0.15,1.494222850222043,1.5
Manufacturability,1.7318681015556472,0.175,1.75
Compatibility,2.25,1.8910556082989007,0.225
