,LightGBM,CatBoost,XGBoost
Safety,2.2499999999999996,1.039655172413793,0.225
Performance,0.2,2.0,1.7860966330753407
Efficiency,0.15,1.494222850222043,1.5
Manufacturability,1.7318681015556472,0.175,1.75
Compatibility,2.5,2.1011728981098896,0.25
