,LightGBM,CatBoost,XGBoost
Safety,1.4999999999999998,0.693103448275862,0.15
Performance,0.175,1.75,1.562834553940923
Efficiency,0.2,1.9922971336293906,2.0
Manufacturability,2.226687559142975,0.225,2.25
Compatibility,2.5,2.1011728981098896,0.25
