iter	MultiClass
0	2.232215749
1	1.954995451
2	1.762619757
3	1.613029463
4	1.491134014
5	1.384703166
6	1.296128362
7	1.221388336
8	1.1515083
9	1.091025325
10	1.035039768
11	0.9846704112
12	0.9394183564
13	0.895227986
14	0.8566370078
15	0.8193525251
16	0.7853474065
17	0.7527380185
18	0.7248871154
19	0.6977234952
20	0.6714901796
21	0.6468076324
22	0.6244464074
23	0.6029863021
24	0.5824650658
25	0.5629899035
26	0.5443618614
27	0.5274052726
28	0.5108658734
29	0.4937389879
30	0.4790081369
31	0.4646977222
32	0.4507809293
33	0.437082509
34	0.4251924211
35	0.4135037069
36	0.4026677851
37	0.3918656238
38	0.3813420439
39	0.3716320675
40	0.3618111334
41	0.3530217253
42	0.3439760381
43	0.3360723585
44	0.3280232443
45	0.3207660015
46	0.3129093196
47	0.3060256944
48	0.2989248611
49	0.2928410093
50	0.2864422525
51	0.2808910276
52	0.2752809962
53	0.269711221
54	0.2642231973
55	0.2588573315
56	0.2541143221
57	0.2494031155
58	0.2443772813
59	0.2404143677
60	0.236443305
61	0.2321034989
62	0.2280359089
63	0.2240435381
64	0.220573719
65	0.2171511154
66	0.2141838495
67	0.2105780616
68	0.2074389006
69	0.2046929134
70	0.2019501911
71	0.1987045843
72	0.1962188476
73	0.1936020272
74	0.1912989185
75	0.1882746997
76	0.185888053
77	0.1834204455
78	0.1811312026
79	0.1786099236
80	0.1770638581
81	0.1748489344
82	0.1728147724
83	0.1708048697
84	0.1691413276
85	0.1672492781
86	0.1655410899
87	0.1633827439
88	0.161620447
89	0.159847416
90	0.1580132309
91	0.1566350663
92	0.1549581612
93	0.1534167061
94	0.151955263
95	0.1503733348
96	0.1490752601
97	0.1475795317
98	0.1464335394
99	0.1455531404
100	0.14410283
101	0.1427690128
102	0.1419129595
103	0.1410098903
104	0.1398729701
105	0.1385449049
106	0.1374426965
107	0.1364158331
108	0.1353961113
109	0.1343690286
110	0.1331416476
111	0.1323779897
112	0.1313967116
113	0.1302029469
114	0.1290790427
115	0.1283643842
116	0.1273576829
117	0.1266993101
118	0.1255001089
119	0.124979025
120	0.1241200628
121	0.1232870666
122	0.1223377088
123	0.1215169865
124	0.1207638413
125	0.1199997797
126	0.1194249744
127	0.1185020151
128	0.1179486078
129	0.1171651945
130	0.116318107
131	0.1157096437
132	0.1149013609
133	0.11419229
134	0.1135909546
135	0.1126659774
136	0.1122473725
137	0.1114996062
138	0.110928625
139	0.11041802
140	0.1096424558
141	0.108924939
142	0.1082742197
143	0.1075111541
144	0.1069623286
145	0.1066108805
146	0.1061380081
147	0.1056616221
148	0.1052677001
149	0.1045734976
150	0.104010625
151	0.1036037702
152	0.1029300034
153	0.1024462045
154	0.1019330618
155	0.1015703853
156	0.1009921124
157	0.1005895203
158	0.1000481383
159	0.09960512541
160	0.09896583845
161	0.09841149305
162	0.09778081736
163	0.09750166766
164	0.09718169741
165	0.09679420376
166	0.09635027876
167	0.09606237437
168	0.09580832123
169	0.09552250036
170	0.09515768584
171	0.09464635702
172	0.09400115425
173	0.09375149266
174	0.0932535101
175	0.09278882188
176	0.09237283846
177	0.0921047278
178	0.09169521943
179	0.09117620091
180	0.09087716829
181	0.09057410467
182	0.0902673517
183	0.08985225379
184	0.08946075075
185	0.08913782656
186	0.08864742533
187	0.0883992783
188	0.08799653149
189	0.08754860653
190	0.0873170597
191	0.08701816534
192	0.086680644
193	0.08646104176
194	0.08625407653
195	0.0858959429
196	0.08556979243
197	0.08515926688
198	0.08484057898
199	0.08466303923
200	0.08425946954
201	0.08403237788
202	0.08385244456
203	0.08354968609
204	0.08318451309
205	0.08289032659
206	0.0825729112
207	0.08242231628
208	0.08220304559
209	0.08181367583
210	0.08156951507
211	0.08133904915
212	0.08118162447
213	0.08095914992
214	0.08081614879
215	0.08046926436
216	0.08012809628
217	0.07984640491
218	0.07959389479
219	0.07923018641
220	0.07893813014
221	0.07867024782
222	0.07843175524
223	0.07810708697
224	0.07794280892
225	0.07771894302
226	0.0775649665
227	0.07731765349
228	0.07703433144
229	0.07675677069
230	0.07650579273
231	0.07628820034
232	0.07599683048
233	0.07572101953
234	0.07546199345
235	0.07533084512
236	0.07509829096
237	0.07488430878
238	0.0747061441
239	0.0744129931
240	0.07426106995
241	0.07398112409
242	0.07379806788
243	0.07357461274
244	0.07345385648
245	0.07321592677
246	0.07301726382
247	0.07283135617
248	0.07272816107
249	0.0725991529
250	0.07233673172
251	0.07216479302
252	0.07196201153
253	0.07182012323
254	0.07160224958
255	0.07142206568
256	0.07116726583
257	0.07105899267
258	0.07082926438
259	0.07067547189
260	0.07049755523
261	0.07031854549
262	0.07014359275
263	0.07000082757
264	0.06976528528
265	0.06964863844
266	0.06943131857
267	0.06920540179
268	0.06903529897
269	0.06886024743
270	0.06863309115
271	0.06839268237
272	0.06826056538
273	0.06810062422
274	0.06794487204
275	0.06769926796
276	0.06755703492
277	0.06740545613
278	0.06729384504
279	0.06716811236
280	0.06694316532
281	0.06676958508
282	0.06669440968
283	0.06657576569
284	0.06639053271
285	0.06622698945
286	0.06611595476
287	0.06604111823
288	0.06587654598
289	0.06580269641
290	0.06562700381
291	0.06542195928
292	0.06533635037
293	0.06517516329
294	0.06505374004
295	0.06491300092
296	0.06476913784
297	0.0645743547
298	0.06441652406
299	0.06427535423
